gene,disease,question
BRCA2,BRCA2-related cancer predisposition,About how old were you when you were first told you had breast cancer?
BRCA2,BRCA2-related cancer predisposition,Are you currently prescribed medications and/or receiving treatment for ovarian cancer?
BRCA2,BRCA2-related cancer predisposition,"Including yourself, who in your family has had breast cancer? Select all that apply."
BRCA2,BRCA2-related cancer predisposition,"Including yourself, who in your family has had ovarian cancer? Select all that apply."
BRCA2,BRCA2-related cancer predisposition,Are you still seeing a doctor or health care provider for ovarian cancer?
BRCA2,BRCA2-related cancer predisposition,About how old were you when you were first told you had ovarian cancer?
BRCA2,BRCA2-related cancer predisposition,Are you currently prescribed medications and/or receiving treatment for breast cancer?
BRCA2,BRCA2-related cancer predisposition,Are you still seeing a doctor or health care provider for breast cancer?
APOB,"hypercholesterolemia, autosomal dominant, type B","Including yourself, who in your family has had high cholesterol? Select all that apply."
APOB,"hypercholesterolemia, autosomal dominant, type B",Are you currently prescribed medications and/or receiving treatment for high cholesterol?
APOB,"hypercholesterolemia, autosomal dominant, type B",About how old were you when you were first told you had high cholesterol?
APOB,"hypercholesterolemia, autosomal dominant, type B",Are you still seeing a doctor or health care provider for high cholesterol?
MSH6,mismatch repair cancer syndrome 1,"Including yourself, who in your family has had endometrial cancer? Select all that apply."
MSH6,mismatch repair cancer syndrome 1,Are you currently prescribed medications and/or receiving treatment for colon cancer/rectal cancer?
MSH6,mismatch repair cancer syndrome 1,Are you currently prescribed medications and/or receiving treatment for endometrial cancer?
MSH6,mismatch repair cancer syndrome 1,Are you still seeing a doctor or health care provider for endometrial cancer?
MSH6,mismatch repair cancer syndrome 1,About how old were you when you were first told you had colon cancer/rectal cancer?
MSH6,mismatch repair cancer syndrome 1,Are you still seeing a doctor or health care provider for colon cancer/rectal cancer?
MSH6,mismatch repair cancer syndrome 1,About how old were you when you were first told you had endometrial cancer?
MSH6,mismatch repair cancer syndrome 1,"Including yourself, who in your family has had colon cancer/rectal cancer? Select all that apply."
HNF1A,monogenic diabetes,Are you currently prescribed medications and/or receiving treatment for other/unknown diabetes?
HNF1A,monogenic diabetes,About how old were you when you were first told you had other/unknown diabetes?
HNF1A,monogenic diabetes,Are you still seeing a doctor or health care provider for other/unknown diabetes?
HNF1A,monogenic diabetes,"Including yourself, who in your family has had other/unknown diabetes? Select all that apply."
TP53,Li-Fraumeni syndrome,Are you currently prescribed medications and/or receiving treatment for bone cancer?
TP53,Li-Fraumeni syndrome,Are you still seeing a doctor or health care provider for blood or soft tissue cancer?
